line_id	status	reason	n_candidates	n_atoms	n_sites
VERG-aene.1.1	correct		39	16	2
VERG-aene.1.2	correct		278	17	5
VERG-aene.1.3	correct		1	16	2
VERG-aene.1.4	correct		174	18	5
VERG-aene.1.5	correct		6	15	1
VERG-aene.1.6	correct		11	16	2
VERG-aene.1.7	correct		56	18	6
VERG-aene.1.8	correct		11	17	2
VERG-aene.1.9	correct		56	17	3
VERG-aene.1.10	correct		16	16	2
VERG-aene.1.11	correct		2	19	4
VERG-aene.1.12	correct		35	16	3
VERG-aene.1.13	correct		74	16	3
VERG-aene.1.14	correct		217	18	5
VERG-aene.1.15	correct		8	14	1
VERG-aene.1.16	correct		39	16	3
VERG-aene.1.17	correct		5	15	2
VERG-aene.1.18	correct		15	15	2
VERG-aene.1.19	correct		36	16	2
VERG-aene.1.20	correct		217	17	5
VERG-aene.1.21	correct		6	14	0
VERG-aene.1.22	correct		162	18	5
VERG-aene.1.23	correct		21	16	2
VERG-aene.1.24	correct		7	14	0
VERG-aene.1.25	correct		544	20	8
VERG-aene.1.26	correct		1	16	0
VERG-aene.1.27	correct		236	19	6
VERG-aene.1.28	correct		1	17	2
VERG-aene.1.29	correct		3	15	1
VERG-aene.1.30	gold_unreachable	elision_mismatch	34	16	4
VERG-aene.1.31	correct		7	14	1
VERG-aene.1.32	correct		50	15	3
VERG-aene.1.33	correct		11	15	1
VERG-aene.1.34	correct		1	15	1
VERG-aene.1.35	correct		37	18	4
VERG-aene.1.36	correct		140	16	5
VERG-aene.1.37	correct		68	15	3
VERG-aene.1.38	correct		250	18	7
VERG-aene.1.39	correct		17	15	2
VERG-aene.1.40	correct		58	17	5
VERG-aene.1.41	correct		218	17	5
VERG-aene.1.42	correct		377	18	5
VERG-aene.1.43	correct		319	18	6
VERG-aene.1.44	correct		1	14	1
VERG-aene.1.45	correct		6	17	2
VERG-aene.1.46	correct		762	18	7
VERG-aene.1.47	correct		9	15	1
VERG-aene.1.48	correct		18	15	1
VERG-aene.1.49	correct		112	17	5
VERG-aene.1.50	correct		45	15	3
VERG-aene.1.51	correct		34	18	5
VERG-aene.1.52	correct		1306	17	7
VERG-aene.1.53	correct		2	13	0
VERG-aene.1.54	correct		22	15	2
VERG-aene.1.55	correct		3	14	1
VERG-aene.1.56	correct		21	17	4
VERG-aene.1.57	correct		10	16	2
VERG-aene.1.58	correct		44	17	4
VERG-aene.1.59	correct		15	16	2
VERG-aene.1.60	correct		2	15	1
VERG-aene.1.61	correct		13	15	2
VERG-aene.1.62	correct		20	16	2
VERG-aene.1.63	correct		21	16	2
VERG-aene.1.64	correct		81	14	3
VERG-aene.1.65	correct		42	19	5
VERG-aene.1.66	correct		6	14	1
VERG-aene.1.67	correct		23	17	3
VERG-aene.1.68	correct		18	16	3
VERG-aene.1.69	correct		133	15	5
VERG-aene.1.70	correct		21	17	3
VERG-aene.1.71	correct		2	16	2
VERG-aene.1.72	gold_unreachable	elision_mismatch	7	14	2
VERG-aene.1.73	correct		100	16	4
VERG-aene.1.74	correct		10	14	0
VERG-aene.1.75	correct		10	15	1
VERG-aene.1.76	correct		195	17	5
VERG-aene.1.77	correct		18	16	2
VERG-aene.1.78	correct		147	16	5
VERG-aene.1.79	correct		30	16	3
VERG-aene.1.80	correct		6	14	0
VERG-aene.1.81	correct		21	18	4
VERG-aene.1.82	correct		6	16	1
VERG-aene.1.83	correct		5	15	1
VERG-aene.1.84	correct		50	16	2
VERG-aene.1.85	correct		22	17	3
VERG-aene.1.86	correct		20	15	1
VERG-aene.1.87	correct		27	15	1
VERG-aene.1.88	correct		35	16	3
VERG-aene.1.89	correct		64	16	4
VERG-aene.1.90	correct		30	18	4
VERG-aene.1.91	correct		7	15	3
VERG-aene.1.92	correct		256	17	7
VERG-aene.1.93	correct		7	15	1
VERG-aene.1.94	correct		110	16	3
VERG-aene.1.95	correct		23	17	4
VERG-aene.1.96	correct		6	17	2
VERG-aene.1.97	correct		30	15	2
VERG-aene.1.98	correct		12	18	5
VERG-aene.1.99	correct		464	22	9
VERG-aene.1.100	correct		10	15	1
VERG-aene.1.101	correct		329	18	6
VERG-aene.1.102	correct		20	15	2
VERG-aene.1.103	correct		20	17	3
VERG-aene.1.104	correct		37	15	3
VERG-aene.1.105	correct		2	18	2
VERG-aene.1.106	correct		3	14	1
VERG-aene.1.107	correct		1	17	2
VERG-aene.1.108	correct		8	15	2
VERG-aene.1.109	correct		22	18	4
VERG-aene.1.110	correct		7	16	2
VERG-aene.1.111	correct		6	16	3
VERG-aene.1.112	correct		14	17	3
VERG-aene.1.113	correct		70	16	3
VERG-aene.1.114	correct		39	16	3
VERG-aene.1.115	correct		3	15	0
VERG-aene.1.116	no_candidates	vowel_chain	0	16	1
VERG-aene.1.117	correct		3	18	3
VERG-aene.1.118	correct		7	13	1
VERG-aene.1.119	correct		56	17	3
VERG-aene.1.120	correct		1344	19	8
VERG-aene.1.121	correct		58	16	4
VERG-aene.1.122	correct		2	15	1
VERG-aene.1.123	correct		67	16	3
VERG-aene.1.124	correct		7	14	1
VERG-aene.1.125	correct		5	15	2
VERG-aene.1.126	correct		23	17	3
VERG-aene.1.127	correct		2	16	1
VERG-aene.1.128	correct		217	19	7
VERG-aene.1.129	correct		60	15	4
VERG-aene.1.130	correct		161	16	4
VERG-aene.1.131	correct		58	18	4
VERG-aene.1.132	correct		560	16	5
VERG-aene.1.133	correct		25	16	3
VERG-aene.1.134	correct		17	15	2
VERG-aene.1.135	correct		7	15	1
VERG-aene.1.136	correct		4	16	2
VERG-aene.1.137	correct		222	16	4
VERG-aene.1.138	correct		59	18	5
VERG-aene.1.139	correct		6	17	2
VERG-aene.1.140	correct		40	16	4
VERG-aene.1.141	correct		69	16	4
VERG-aene.1.142	correct		54	18	4
VERG-aene.1.143	correct		6	14	0
VERG-aene.1.144	correct		7	15	1
VERG-aene.1.145	correct		56	17	5
VERG-aene.1.146	correct		6	15	1
VERG-aene.1.147	correct		4	16	2
VERG-aene.1.148	correct		34	18	4
VERG-aene.1.149	correct		224	18	6
VERG-aene.1.150	correct		12	16	2
VERG-aene.1.151	correct		183	18	5
VERG-aene.1.152	correct		4	16	2
VERG-aene.1.153	correct		3	15	0
VERG-aene.1.154	correct		1	17	1
VERG-aene.1.155	correct		55	18	4
VERG-aene.1.156	correct		12	15	1
VERG-aene.1.157	correct		8	19	5
VERG-aene.1.158	correct		25	17	4
VERG-aene.1.159	correct		3	14	0
VERG-aene.1.160	correct		1	17	1
VERG-aene.1.161	correct		5	16	1
VERG-aene.1.162	correct		7	16	2
VERG-aene.1.163	correct		11	15	1
VERG-aene.1.164	correct		11	18	3
VERG-aene.1.165	correct		12	16	3
VERG-aene.1.166	correct		2	16	2
VERG-aene.1.167	correct		23	16	3
VERG-aene.1.168	correct		13	15	2
VERG-aene.1.169	correct		2	15	0
VERG-aene.1.170	correct		56	16	5
VERG-aene.1.171	correct		1	15	0
VERG-aene.1.172	correct		32	15	4
VERG-aene.1.173	correct		3	14	0
VERG-aene.1.174	correct		5	15	1
VERG-aene.1.175	correct		41	16	3
VERG-aene.1.176	correct		40	16	3
VERG-aene.1.177	correct		32	17	4
VERG-aene.1.178	correct		6	14	1
VERG-aene.1.179	correct		1	14	0
VERG-aene.1.180	correct		36	17	4
VERG-aene.1.181	correct		6	15	1
VERG-aene.1.182	correct		111	15	4
VERG-aene.1.183	correct		14	17	3
VERG-aene.1.184	correct		38	16	4
VERG-aene.1.185	correct		5	15	1
VERG-aene.1.186	correct		6	14	1
VERG-aene.1.187	correct		1	16	0
VERG-aene.1.188	correct		27	16	2
VERG-aene.1.189	correct		25	16	2
VERG-aene.1.190	correct		17	15	2
VERG-aene.1.191	correct		10	16	2
VERG-aene.1.192	correct		46	15	4
VERG-aene.1.193	correct		34	19	4
VERG-aene.1.194	correct		4	15	1
VERG-aene.1.195	correct		2	18	2
VERG-aene.1.196	correct		35	18	4
VERG-aene.1.197	correct		14	17	4
VERG-aene.1.198	correct		6	18	3
VERG-aene.1.199	correct		4	16	2
VERG-aene.1.200	correct		29	16	3
VERG-aene.1.201	correct		25	14	2
VERG-aene.1.202	correct		13	18	4
VERG-aene.1.203	correct		32	18	4
VERG-aene.1.204	correct		25	14	2
VERG-aene.1.205	gold_unreachable	elision_mismatch	10	15	1
VERG-aene.1.206	correct		1	15	1
VERG-aene.1.207	correct		31	15	2
VERG-aene.1.208	correct		50	17	4
VERG-aene.1.209	correct		6	15	1
VERG-aene.1.210	gold_unreachable	elision_mismatch	7	17	3
VERG-aene.1.211	correct		12	15	1
VERG-aene.1.212	correct		2	16	1
VERG-aene.1.213	correct		38	17	4
VERG-aene.1.214	correct		33	15	3
VERG-aene.1.215	correct		2	15	2
VERG-aene.1.216	correct		1	18	3
VERG-aene.1.217	correct		3	14	1
VERG-aene.1.218	correct		289	17	5
VERG-aene.1.219	correct		400	18	7
VERG-aene.1.220	correct		351	17	6
VERG-aene.1.221	correct		20	15	1
VERG-aene.1.222	correct		11	15	2
VERG-aene.1.223	correct		15	16	2
VERG-aene.1.224	correct		81	17	5
VERG-aene.1.225	correct		16	17	2
VERG-aene.1.226	correct		17	16	2
VERG-aene.1.227	correct		4	14	1
