line_id	status	reason	n_candidates	n_atoms	n_sites
VERG-aene.1.1	correct		18	16	2
VERG-aene.1.2	gold_unreachable	elision_mismatch	92	17	5
VERG-aene.1.3	correct		1	16	2
VERG-aene.1.4	correct		85	18	5
VERG-aene.1.5	no_candidates	weight_filter	0	15	1
VERG-aene.1.6	correct		11	16	2
VERG-aene.1.7	correct		8	18	6
VERG-aene.1.8	correct		6	17	2
VERG-aene.1.9	correct		7	16	2
VERG-aene.1.10	correct		8	16	2
VERG-aene.1.11	correct		2	19	4
VERG-aene.1.12	gold_unreachable	diphthong_mismatch	20	15	3
VERG-aene.1.13	gold_unreachable	open_syllable_length	13	16	3
VERG-aene.1.14	correct		66	18	5
VERG-aene.1.15	correct		3	14	1
VERG-aene.1.16	correct		30	16	3
VERG-aene.1.17	gold_unreachable	diphthong_mismatch	2	15	2
VERG-aene.1.18	correct		6	15	2
VERG-aene.1.19	correct		14	16	2
VERG-aene.1.20	correct		75	17	5
VERG-aene.1.21	correct		3	14	0
VERG-aene.1.22	correct		68	18	5
VERG-aene.1.23	correct		4	16	2
VERG-aene.1.24	gold_unreachable	other	1	14	0
VERG-aene.1.25	correct		154	20	8
VERG-aene.1.26	correct		1	16	0
VERG-aene.1.27	correct		64	19	6
VERG-aene.1.28	no_candidates	vowel_chain	0	17	2
VERG-aene.1.29	correct		3	15	1
VERG-aene.1.30	gold_unreachable	elision_mismatch	6	16	4
VERG-aene.1.31	correct		7	14	1
VERG-aene.1.32	correct		8	15	3
VERG-aene.1.33	correct		7	15	1
VERG-aene.1.34	correct		1	15	1
VERG-aene.1.35	correct		6	18	4
VERG-aene.1.36	correct		64	16	5
VERG-aene.1.37	correct		24	15	3
VERG-aene.1.38	correct		250	18	7
VERG-aene.1.39	correct		27	15	2
VERG-aene.1.40	correct		48	17	5
VERG-aene.1.41	gold_unreachable	elision_mismatch	125	16	5
VERG-aene.1.42	correct		246	18	5
VERG-aene.1.43	correct		67	18	6
VERG-aene.1.44	no_candidates	vowel_chain	0	14	1
VERG-aene.1.45	correct		2	17	2
VERG-aene.1.46	gold_unreachable	elision_mismatch	174	18	7
VERG-aene.1.47	correct		4	15	1
VERG-aene.1.48	correct		2	15	1
VERG-aene.1.49	gold_unreachable	open_syllable_length	12	17	5
VERG-aene.1.50	gold_unreachable	elision_mismatch	17	15	3
VERG-aene.1.51	correct		18	18	5
VERG-aene.1.52	correct		260	17	7
VERG-aene.1.53	correct		1	13	0
VERG-aene.1.54	gold_unreachable	open_syllable_length	3	15	2
VERG-aene.1.55	correct		1	14	1
VERG-aene.1.56	gold_unreachable	elision_mismatch	2	17	4
VERG-aene.1.57	correct		2	16	2
VERG-aene.1.58	correct		16	17	4
VERG-aene.1.59	correct		8	16	2
VERG-aene.1.60	correct		2	15	1
VERG-aene.1.61	correct		2	15	2
VERG-aene.1.62	correct		6	16	2
VERG-aene.1.63	no_candidates	weight_filter	0	16	2
VERG-aene.1.64	correct		21	14	3
VERG-aene.1.65	correct		24	19	5
VERG-aene.1.66	correct		3	14	1
VERG-aene.1.67	correct		7	17	3
VERG-aene.1.68	correct		14	16	3
VERG-aene.1.69	gold_unreachable	elision_mismatch	8	14	3
VERG-aene.1.70	correct		6	17	3
VERG-aene.1.71	correct		2	16	2
VERG-aene.1.72	gold_unreachable	elision_mismatch	4	14	2
VERG-aene.1.73	correct		52	16	4
VERG-aene.1.74	correct		3	14	0
VERG-aene.1.75	correct		6	15	1
VERG-aene.1.76	gold_unreachable	open_syllable_length	17	17	5
VERG-aene.1.77	correct		12	16	2
VERG-aene.1.78	gold_unreachable	other	74	16	5
VERG-aene.1.79	correct		30	16	3
VERG-aene.1.80	correct		2	14	0
VERG-aene.1.81	correct		8	18	4
VERG-aene.1.82	correct		4	16	1
VERG-aene.1.83	correct		2	15	1
VERG-aene.1.84	correct		29	16	2
VERG-aene.1.85	correct		12	16	3
VERG-aene.1.86	gold_unreachable	open_syllable_length	2	15	1
VERG-aene.1.87	no_candidates	vowel_chain	0	15	1
VERG-aene.1.88	correct		22	16	3
VERG-aene.1.89	correct		64	16	4
VERG-aene.1.90	correct		10	18	4
VERG-aene.1.91	correct		7	15	3
VERG-aene.1.92	correct		256	17	7
VERG-aene.1.93	correct		1	15	1
VERG-aene.1.94	no_candidates	weight_filter	0	16	3
VERG-aene.1.95	correct		2	17	4
VERG-aene.1.96	correct		5	17	2
VERG-aene.1.97	correct		30	15	2
VERG-aene.1.98	no_candidates	vowel_chain	0	18	5
VERG-aene.1.99	gold_unreachable	elision_mismatch	148	22	9
VERG-aene.1.100	correct		6	15	1
VERG-aene.1.101	correct		36	18	6
VERG-aene.1.102	no_candidates	weight_filter	0	15	2
VERG-aene.1.103	correct		4	17	3
VERG-aene.1.104	correct		26	15	3
VERG-aene.1.105	no_candidates	vowel_chain	0	18	2
VERG-aene.1.106	correct		1	14	1
VERG-aene.1.107	no_candidates	weight_filter	0	17	2
VERG-aene.1.108	correct		4	15	2
VERG-aene.1.109	no_candidates	weight_filter	0	18	4
VERG-aene.1.110	correct		7	16	2
VERG-aene.1.111	correct		6	16	3
VERG-aene.1.112	no_candidates	vowel_chain	0	17	3
VERG-aene.1.113	correct		26	15	3
VERG-aene.1.114	correct		17	16	3
VERG-aene.1.115	correct		1	15	0
VERG-aene.1.116	no_candidates	vowel_chain	0	16	1
VERG-aene.1.117	correct		3	18	3
VERG-aene.1.118	correct		5	13	1
VERG-aene.1.119	correct		18	17	3
VERG-aene.1.120	gold_unreachable	elision_mismatch	67	19	8
VERG-aene.1.121	correct		23	16	4
VERG-aene.1.122	gold_unreachable	elision_mismatch	2	15	1
VERG-aene.1.123	correct		8	16	3
VERG-aene.1.124	correct		7	14	1
VERG-aene.1.125	correct		4	15	2
VERG-aene.1.126	correct		15	17	3
VERG-aene.1.127	correct		2	16	1
VERG-aene.1.128	correct		206	19	7
VERG-aene.1.129	correct		44	15	4
VERG-aene.1.130	correct		73	16	4
VERG-aene.1.131	no_candidates	weight_filter	0	18	4
VERG-aene.1.132	correct		296	16	5
